AA,2.32,"521,324",6
KK,1.67,"522,652",6
QQ,1.22,"520,663",6
JJ,0.86,"521,866",6
AK s,0.78,"348,364",4
AQ s,0.59,"348,759",4
TT,0.58,"520,705",6
AK,0.51,"1,048,008",12
AJ s,0.44,"348,126",4
KQ s,0.39,"346,772",4
99,0.38,"522,454",6
AT s,0.32,"348,013",4
AQ,0.31,"1,042,962",12
KJ s,0.29,"346,582",4
88,0.25,"521,972",6
QJ s,0.23,"348,870",4
KT s,0.2,"348,774",4
A9 s,0.19,"348,992",4
AJ,0.19,"1,045,857",12
QT s,0.17,"346,115",4
KQ,0.16,"1,045,069",12
77,0.16,"524,345",6
JT s,0.15,"348,235",4
A8 s,0.1,"349,431",4
K9 s,0.09,"348,286",4
AT,0.08,"1,047,289",12
A5 s,0.08,"348,544",4
A7s,0.08,"349,949",4
KJ,0.08,"1,047,098",12
66,0.07,"520,946",6
T9 s,0.05,"348,264",4
A4 s,0.05,"347,862",4
Q9 s,0.05,"348,760",4
J9 s,0.04,"349,965",4
QJ,0.03,"1,044,338",12
A6 s,0.03,"347,677",4
55,0.02,"521,945",6
A3 s,0.02,"347,895",4
K8 s,0.01,"350,401",4
KT,0.01,"1,045,392",12
98 s,0,"348,759",4
T8 s,0,"347,443",4
K7 s,0,"348,341",4
A2 s,0,"347,318",4
87 s,-0.02,"348,348",4
QT,-0.02,"1,047,827",12
Q8 s,-0.02,"348,381",4
44,-0.03,"523,398",6
A9,-0.03,"1,047,672",12
J8 s,-0.03,"348,046",4
76 s,-0.03,"347,540",4
JT,-0.03,"1,043,812",12
97 s,-0.04,"350,158",4
K6 s,-0.04,"347,029",4
K5 s,-0.05,"349,320",4
K4 s,-0.05,"348,681",4
T7 s,-0.05,"347,638",4
Q7 s,-0.06,"348,073",4
K9,-0.07,"1,045,630",12
65 s,-0.07,"348,590",4
T9,-0.07,"1,045,306",12
86 s,-0.07,"348,374",4
A8,-0.07,"1,042,209",12
J7 s,-0.07,"345,009",4
33,-0.07,"522,632",6
54 s,-0.08,"348,260",4
Q6 s,-0.08,"349,068",4
K3 s,-0.08,"348,865",4
Q9,-0.08,"1,049,468",12
75 s,-0.09,"349,781",4
22,-0.09,"524,131",6
J9,-0.09,"1,044,150",12
64 s,-0.09,"349,689",4
Q5 s,-0.09,"350,110",4
K2 s,-0.09,"349,276",4
96 s,-0.09,"349,514",4
Q3 s,-0.1,"348,009",4
J8,-0.1,"1,046,506",12
98,-0.1,"1,044,759",12
T8,-0.1,"1,048,779",12
97,-0.1,"1,046,152",12
A7,-0.1,"1,046,587",12
T7,-0.1,"1,044,950",12
Q4 s,-0.1,"348,979",4
Q8,-0.11,"1,048,251",12
J5 s,-0.11,"348,923",4
T6,-0.11,"1,043,014",12
75,-0.11,"1,047,447",12
J4 s,-0.11,"347,508",4
74 s,-0.11,"350,325",4
K8,-0.11,"1,048,167",12
86,-0.11,"1,047,524",12
53 s,-0.11,"346,930",4
K7,-0.11,"1,043,698",12
63 s,-0.11,"346,449",4
J6 s,-0.11,"347,570",4
85,-0.11,"1,048,159",12
T6 s,-0.11,"348,875",4
76,-0.11,"1,046,722",12
A6,-0.12,"1,046,762",12
T2,-0.12,"1,047,032",12
95 s,-0.12,"348,477",4
84,-0.12,"1,046,266",12
62,-0.12,"1,049,495",12
T5 s,-0.12,"348,928",4
95,-0.12,"1,044,601",12
A5,-0.12,"1,046,285",12
Q7,-0.12,"1,046,099",12
T5,-0.12,"1,048,428",12
87,-0.12,"1,044,635",12
83,-0.12,"1,048,550",12
65,-0.12,"1,045,971",12
Q2 s,-0.12,"348,912",4
94,-0.12,"1,047,422",12
74,-0.12,"1,043,278",12
54,-0.12,"1,046,435",12
A4,-0.12,"1,046,931",12
T4,-0.12,"1,047,976",12
82,-0.12,"1,043,638",12
64,-0.12,"1,043,079",12
42,-0.12,"1,043,357",12
J7,-0.12,"1,046,565",12
93,-0.12,"1,045,989",12
85 s,-0.12,"347,928",4
73,-0.12,"1,047,020",12
53,-0.12,"1,047,022",12
T3,-0.12,"1,043,908",12
63,-0.12,"1,044,818",12
K6,-0.12,"1,045,039",12
J6,-0.12,"1,045,991",12
96,-0.12,"1,047,156",12
92,-0.12,"1,049,342",12
72,-0.12,"1,046,167",12
52,-0.12,"1,049,213",12
Q4,-0.13,"1,045,087",12
K5,-0.13,"1,047,359",12
J5,-0.13,"1,047,697",12
43 s,-0.13,"348,802",4
Q3,-0.13,"1,047,649",12
43,-0.13,"1,047,900",12
K4,-0.13,"1,046,562",12
J4,-0.13,"1,048,129",12
T4 s,-0.13,"350,639",4
Q6,-0.13,"1,046,958",12
Q2,-0.13,"1,046,353",12
J3 s,-0.13,"349,254",4
J3,-0.13,"1,046,204",12
T3 s,-0.13,"349,673",4
A3,-0.13,"1,046,970",12
Q5,-0.13,"1,047,946",12
J2,-0.13,"1,045,715",12
84 s,-0.13,"349,390",4
82 s,-0.14,"348,622",4
42 s,-0.14,"350,591",4
93 s,-0.14,"348,835",4
73 s,-0.14,"349,007",4
K3,-0.14,"1,045,968",12
J2 s,-0.14,"348,259",4
92 s,-0.14,"347,868",4
52 s,-0.14,"348,401",4
K2,-0.14,"1,048,521",12
T2 s,-0.14,"349,612",4
62 s,-0.14,"348,033",4
32,-0.14,"1,044,956",12
A2,-0.15,"1,047,979",12
83 s,-0.15,"349,355",4
94 s,-0.15,"348,259",4
72 s,-0.15,"348,368",4
32 s,-0.15,"349,794",4